subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
67,ISRSL0_wiener,0.077,0.3,5.0,20.483749962226227,0.32880085802917225,0.6451519841142246
67,ISRSL0_BM3D,0.077,0.3,5.0,20.596119105303785,0.3086231943499306,0.622875615095646
67,SL0,0.077,0.3,5.0,20.166726577769367,0.32164678497319266,0.5288139579930494
67,Zero-filled,,,,19.87512335209046,0.3218095324922246,0.5261202246083285
68,ISRSL0_wiener,0.077,0.3,5.0,19.60805490728935,0.31551173084508854,0.640935507352515
68,ISRSL0_BM3D,0.077,0.3,5.0,17.9400826283919,0.29439846731342967,0.6015318224185415
68,SL0,0.077,0.3,5.0,17.61436493341273,0.3093197176611831,0.5080924073443345
68,Zero-filled,,,,17.34913869458443,0.3095668445905613,0.5047257702970832
69,ISRSL0_wiener,0.077,0.3,5.0,28.33208345132299,0.4090332184080838,0.6635185617713351
69,ISRSL0_BM3D,0.077,0.3,5.0,25.28440585923532,0.39490384115924965,0.6334087469362379
69,SL0,0.077,0.3,5.0,24.575114706979186,0.4083231134284369,0.5642505957827494
69,Zero-filled,,,,23.261773193063696,0.40857133187141803,0.5561209309144112
70,ISRSL0_wiener,0.077,0.3,5.0,29.01696400047191,0.14925557678229812,0.8328145734162
70,ISRSL0_BM3D,0.077,0.3,5.0,26.13870378710812,0.14237122464615434,0.8406953713188884
70,SL0,0.077,0.3,5.0,26.20838777648799,0.15181528690186533,0.7606101270425254
70,Zero-filled,,,,25.978052683382774,0.15186975912751324,0.7589464382327513
71,ISRSL0_wiener,0.077,0.3,5.0,26.840250541209425,0.25757672178858726,0.7744911959767764
71,ISRSL0_BM3D,0.077,0.3,5.0,23.92459243956715,0.2403534299198957,0.7478607245916553
71,SL0,0.077,0.3,5.0,16.960718881321064,0.2661568977121377,0.5395412483608052
71,Zero-filled,,,,16.11171130756563,0.26734844064960184,0.5197424020575541
72,ISRSL0_wiener,0.077,0.3,5.0,27.142187063451697,0.19774233026962879,0.7565055211781723
72,ISRSL0_BM3D,0.077,0.3,5.0,27.24423319286183,0.18360345098547523,0.7848731674742261
72,SL0,0.077,0.3,5.0,26.61552348114476,0.19421429810292493,0.7057713795821783
72,Zero-filled,,,,26.4858998679699,0.1942541058002432,0.7048218606503771
73,ISRSL0_wiener,0.077,0.3,5.0,27.842462518003597,0.2219156448422348,0.7367246976671131
73,ISRSL0_BM3D,0.077,0.3,5.0,27.170987663756037,0.20747135360306926,0.7393012941984569
73,SL0,0.077,0.3,5.0,25.89274774403727,0.2168307000533981,0.651666370429194
73,Zero-filled,,,,25.673391047308982,0.2168968083682873,0.649639980886745
74,ISRSL0_wiener,0.077,0.3,5.0,27.89314110502839,0.3078300661808956,0.7395640064496869
